Median Household Income-Number; NaturalBreaks
Data downloaded on 28-October-2025
County_FIPS,County,State,Obesity-2014-Percentage,Median Household Income-2022 & 2018-2022-Number
21183,Ohio County,Kentucky,30.4,50275
29137,Monroe County,Missouri,25.9,50276
37075,Graham County,North Carolina,23.9,50301
45001,Abbeville County,South Carolina,34.4,50325
28099,Neshoba County,Mississippi,28.2,50331
42023,Cameron County,Pennsylvania,24.2,50338
48073,Cherokee County,Texas,27.3,50351
13025,Brantley County,Georgia,27.5,50370
45021,Cherokee County,South Carolina,30.4,50403
47059,Greene County,Tennessee,26.9,50410
51770,Roanoke City,Virginia,29.9,50425
45031,Darlington County,South Carolina,35.2,50427
05015,Carroll County,Arkansas,29.1,50433
54093,Tucker County,West Virginia,25.8,50444
21055,Crittenden County,Kentucky,26.8,50452
49037,San Juan County,Utah,24.6,50452
51680,Lynchburg City,Virginia,25.7,50494
21205,Rowan County,Kentucky,31.3,50498
42111,Somerset County,Pennsylvania,36,50516
30041,Hill County,Montana,32.4,50518
05019,Clark County,Arkansas,25,50519
22113,Vermilion Parish,Louisiana,27.6,50554
12043,Glades County,Florida,28.8,50559
26109,Menominee County,Michigan,29.4,50564
48403,Sabine County,Texas,26.7,50564
01045,Dale County,Alabama,32.5,50567
51083,Halifax County,Virginia,27.9,50578
48353,Nolan County,Texas,28,50579
24001,Allegany County,Maryland,33.4,50582
13189,Mcduffie County,Georgia,28.4,50593
30011,Carter County,Montana,24.1,50597
38079,Rolette County,North Dakota,36.9,50598
12063,Jackson County,Florida,30.6,50625
47005,Benton County,Tennessee,26.3,50635
48179,Gray County,Texas,28,50648
05059,Hot Spring County,Arkansas,28.8,50654
21009,Barren County,Kentucky,26.6,50658
13173,Lanier County,Georgia,27.6,50671
26119,Montmorency County,Michigan,23.7,50680
48429,Stephens County,Texas,25.6,50710
13055,Chattooga County,Georgia,28.3,50714
21125,Laurel County,Kentucky,35.7,50721
48457,Tyler County,Texas,24.8,50722
39031,Coshocton County,Ohio,31.4,50731
45039,Fairfield County,South Carolina,34.7,50743
48137,Edwards County,Texas,30.5,50752
51135,Nottoway County,Virginia,25.9,50756
30033,Garfield County,Montana,24.8,50762
48241,Jasper County,Texas,24.9,50763
12067,Lafayette County,Florida,31.1,50775
48349,Navarro County,Texas,26,50822
21031,Butler County,Kentucky,25.4,50824
40025,Cimarron County,Oklahoma,25.3,50900
48391,Refugio County,Texas,27.7,50936
17165,Saline County,Illinois,26.1,50979
28127,Simpson County,Mississippi,29.8,50994
20001,Allen County,Kansas,30.8,50995
48447,Throckmorton County,Texas,27.3,50997
39163,Vinton County,Ohio,28.4,51015
05117,Prairie County,Arkansas,27.5,51017
54011,Cabell County,West Virginia,27.9,51017
48375,Potter County,Texas,30.4,51028
51530,Buena Vista City,Virginia,24,51030
40033,Cotton County,Oklahoma,27.8,51036
18053,Grant County,Indiana,37,51053
30073,Pondera County,Montana,29.3,51057
39087,Lawrence County,Ohio,35,51062
01127,Walker County,Alabama,31.6,51065
40015,Caddo County,Oklahoma,31.9,51071
28115,Pontotoc County,Mississippi,27.4,51086
21181,Nicholas County,Kentucky,24.8,51100
13305,Wayne County,Georgia,29,51102
51035,Carroll County,Virginia,27.4,51111
17181,Union County,Illinois,26.4,51116
30015,Chouteau County,Montana,25.5,51137
01133,Winston County,Alabama,27.4,51149
20039,Decatur County,Kansas,28.7,51152
06049,Modoc County,California,23.3,51166
47173,Union County,Tennessee,24.5,51169
48095,Concho County,Texas,30.2,51191
47079,Henry County,Tennessee,28.5,51194
13001,Appling County,Georgia,30.9,51217
05087,Madison County,Arkansas,27.7,51233
40119,Payne County,Oklahoma,27.7,51236
28155,Webster County,Mississippi,24.8,51249
37061,Duplin County,North Carolina,30.9,51270
12121,Suwannee County,Florida,30.2,51295
29087,Holt County,Missouri,26.8,51295
54081,Raleigh County,West Virginia,33.9,51317
40095,Marshall County,Oklahoma,29.2,51341
48273,Kleberg County,Texas,28.1,51342
28035,Forrest County,Mississippi,31.2,51344
48411,San Saba County,Texas,28.8,51350
48293,Limestone County,Texas,26.9,51357
17059,Gallatin County,Illinois,26.1,51367
21061,Edmonson County,Kentucky,24.7,51402
13191,Mcintosh County,Georgia,25.4,51411
22003,Allen Parish,Louisiana,26.4,51423
39053,Gallia County,Ohio,28.5,51449
29015,Benton County,Missouri,27.8,51473
22087,St. Bernard Parish,Louisiana,31.2,51485
42051,Fayette County,Pennsylvania,37.1,51494
01075,Lamar County,Alabama,28.9,51523
31071,Garfield County,Nebraska,25.5,51530
37195,Wilson County,North Carolina,31.4,51535
37131,Northampton County,North Carolina,27.8,51550
48419,Shelby County,Texas,28.9,51551
21033,Caldwell County,Kentucky,29.6,51553
48093,Comanche County,Texas,26.8,51559
23003,Aroostook County,Maine,32.8,51562
31103,Keya Paha County,Nebraska,26.7,51579
01061,Geneva County,Alabama,27.9,51585
06093,Siskiyou County,California,23.8,51593
37039,Cherokee County,North Carolina,26.1,51607
18177,Wayne County,Indiana,26.7,51622
55078,Menominee County,Wisconsin,35.1,51623
28141,Tishomingo County,Mississippi,31.7,51652
29141,Morgan County,Missouri,23.7,51700
48347,Nacogdoches County,Texas,31.7,51708
31069,Garden County,Nebraska,27.8,51734
28129,Smith County,Mississippi,28.7,51746
19053,Decatur County,Iowa,28.3,51749
28095,Monroe County,Mississippi,29.9,51754
20037,Crawford County,Kansas,30.8,51835
06033,Lake County,California,28.4,51848
48267,Kimble County,Texas,27.7,51851
48253,Jones County,Texas,27.5,51894
35045,San Juan County,New Mexico,31.6,51898
29217,Vernon County,Missouri,24.4,51900
29081,Harrison County,Missouri,30.3,51910
22071,Orleans Parish,Louisiana,31.6,51913
04007,Gila County,Arizona,28.7,51928
32023,Nye County,Nevada,31.7,51933
54051,Marshall County,West Virginia,30.8,51934
21035,Calloway County,Kentucky,29,51949
47057,Grainger County,Tennessee,26.4,51951
12055,Highlands County,Florida,29.7,51954
01071,Jackson County,Alabama,28,51965
54085,Ritchie County,West Virginia,29.7,51965
13257,Stephens County,Georgia,27.8,51980
35013,Doña Ana County,New Mexico,26,52011
20205,Wilson County,Kansas,31.7,52064
17183,Vermilion County,Illinois,31.8,52083
51117,Mecklenburg County,Virginia,27.9,52092
48087,Collingsworth County,Texas,27,52093
20183,Smith County,Kansas,27.5,52101
47133,Overton County,Tennessee,29.1,52108
28149,Warren County,Mississippi,27.7,52117
21085,Grayson County,Kentucky,32.8,52130
05001,Arkansas County,Arkansas,27.5,52145
20073,Greenwood County,Kansas,28.7,52145
48437,Swisher County,Texas,29,52148
23007,Franklin County,Maine,30,52159
48109,Culberson County,Texas,29.7,52160
28093,Marshall County,Mississippi,30.6,52162
12037,Franklin County,Florida,29.1,52180
21107,Hopkins County,Kentucky,30.9,52198
16065,Madison County,Idaho,24.1,52224
13275,Thomas County,Georgia,27.9,52236
37163,Sampson County,North Carolina,29,52248
47171,Unicoi County,Tennessee,28,52260
29510,St. Louis City,Missouri,32.9,52278
18167,Vigo County,Indiana,30,52286
33007,Coos County,New Hampshire,29.2,52292
47039,Decatur County,Tennessee,28.7,52294
20099,Labette County,Kansas,30.7,52318
36009,Cattaraugus County,New York,26.1,52383
29211,Sullivan County,Missouri,28.4,52384
48043,Brewster County,Texas,28.4,52388
21027,Breckinridge County,Kentucky,28.9,52400
05029,Conway County,Arkansas,30.6,52405
51005,Alleghany County,Virginia,30.4,52412
22053,Jefferson Davis Parish,Louisiana,32.3,52414
21217,Taylor County,Kentucky,27.7,52414
42121,Venango County,Pennsylvania,30.5,52449
48037,Bowie County,Texas,28.8,52460
35009,Curry County,New Mexico,31.6,52463
39007,Ashtabula County,Ohio,30.5,52468
20029,Cloud County,Kansas,26.2,52483
26013,Baraga County,Michigan,26,52491
37157,Rockingham County,North Carolina,32.2,52494
47177,Warren County,Tennessee,27,52520
23021,Piscataquis County,Maine,31.6,52529
12017,Citrus County,Florida,25.3,52534
05013,Calhoun County,Arkansas,23.5,52535
29055,Crawford County,Missouri,26.1,52536
54099,Wayne County,West Virginia,33.7,52540
54071,Pendleton County,West Virginia,29.1,52553
28041,Greene County,Mississippi,30.3,52585
48465,Val Verde County,Texas,28.8,52593
48271,Kinney County,Texas,28.7,52609
01019,Cherokee County,Alabama,28.3,52613
31045,Dawes County,Nebraska,26.5,52621
13185,Lowndes County,Georgia,31.9,52623
22115,Vernon Parish,Louisiana,31.7,52626
28139,Tippah County,Mississippi,27.4,52635
45041,Florence County,South Carolina,31.8,52650
29075,Gentry County,Missouri,24.2,52653
05023,Cleburne County,Arkansas,26.6,52662
05131,Sebastian County,Arkansas,33.8,52679
47017,Carroll County,Tennessee,28.8,52680
13229,Pierce County,Georgia,26.2,52695
40125,Pottawatomie County,Oklahoma,31.9,52695
13251,Screven County,Georgia,30.6,52713
48399,Runnels County,Texas,27.2,52729
48017,Bailey County,Texas,28.4,52751
01015,Calhoun County,Alabama,30.5,52772
31117,Mcpherson County,Nebraska,25,52774
22031,De Soto Parish,Louisiana,30.7,52776
51131,Northampton County,Virginia,32,52783
35035,Otero County,New Mexico,25.7,52787
17109,Mcdonough County,Illinois,25.4,52812
47073,Hawkins County,Tennessee,26.9,52819
29115,Linn County,Missouri,27.3,52831
22043,Grant Parish,Louisiana,28.2,52832
29121,Macon County,Missouri,29,52847
30023,Deer Lodge County,Montana,25.4,52848
46089,Mcpherson County,South Dakota,22.7,52850
17127,Massac County,Illinois,27.3,52880
20077,Harper County,Kansas,29.7,52893
48063,Camp County,Texas,28.2,52919
27087,Mahnomen County,Minnesota,28.8,52926
29065,Dent County,Missouri,26.7,52945
13277,Tift County,Georgia,27.7,52962
48487,Wilbarger County,Texas,27.6,52983
48279,Lamb County,Texas,28.4,53008
29213,Taney County,Missouri,25.6,53009
13199,Meriwether County,Georgia,27,53019
05009,Boone County,Arkansas,31.3,53025
40101,Muskogee County,Oklahoma,34.9,53035
42063,Indiana County,Pennsylvania,33.7,53040
17145,Perry County,Illinois,25.5,53051
40071,Kay County,Oklahoma,27.8,53066
51670,Hopewell City,Virginia,26.5,53098
40009,Beckham County,Oklahoma,30.1,53119
48433,Stonewall County,Texas,27.7,53153
54063,Monroe County,West Virginia,25.6,53154
37045,Cleveland County,North Carolina,27.5,53170
47101,Lewis County,Tennessee,25.7,53189
22047,Iberville Parish,Louisiana,31,53205
48045,Briscoe County,Texas,27.5,53208
29105,Laclede County,Missouri,26.4,53224
20065,Graham County,Kansas,25.3,53233
05051,Garland County,Arkansas,28.2,53239
35061,Valencia County,New Mexico,26.8,53275
21219,Todd County,Kentucky,29.2,53280
13273,Terrell County,Georgia,28.8,53281
54041,Lewis County,West Virginia,29,53283
48471,Walker County,Texas,26.3,53301
48133,Eastland County,Texas,26,53351
17191,Wayne County,Illinois,26.1,53359
16033,Clark County,Idaho,24.5,53366
01095,Marshall County,Alabama,29.5,53388
47035,Cumberland County,Tennessee,26.3,53388
29207,Stoddard County,Missouri,28.2,53391
13295,Walker County,Georgia,27.3,53407
21083,Graves County,Kentucky,26.6,53408
48141,El Paso County,Texas,30.5,53441
48049,Brown County,Texas,23.9,53455
21201,Robertson County,Kentucky,28.1,53456
04023,Santa Cruz County,Arizona,25.7,53467
26129,Ogemaw County,Michigan,30.5,53480
37161,Rutherford County,North Carolina,26.4,53485
45023,Chester County,South Carolina,29.5,53488
40065,Jackson County,Oklahoma,29.4,53513
31091,Hooker County,Nebraska,23.5,53537
56001,Albany County,Wyoming,23.1,53537
18025,Crawford County,Indiana,27.4,53547
29097,Jasper County,Missouri,31.2,53548
37121,Mitchell County,North Carolina,25.3,53555
30005,Blaine County,Montana,33.9,53577
37027,Caldwell County,North Carolina,29.2,53586
19007,Appanoose County,Iowa,33,53589
24039,Somerset County,Maryland,38.7,53590
47033,Crockett County,Tennessee,24.4,53598
30051,Liberty County,Montana,25,53601
26011,Arenac County,Michigan,28.2,53615
29061,Daviess County,Missouri,25.5,53639
20033,Comanche County,Kansas,25.3,53657
21155,Marion County,Kentucky,25,53676
29167,Polk County,Missouri,26.1,53693
47045,Dyer County,Tennessee,31.3,53715
30059,Meagher County,Montana,24.2,53724
13215,Muscogee County,Georgia,27.7,53740
17107,Logan County,Illinois,25.9,53775
40013,Bryan County,Oklahoma,27.5,53782
01129,Washington County,Alabama,32.9,53785
26001,Alcona County,Michigan,27,53788
47077,Henderson County,Tennessee,28.5,53822
37113,Macon County,North Carolina,27.1,53832
21105,Hickman County,Kentucky,25.4,53838
45059,Laurens County,South Carolina,37.9,53847
29089,Howard County,Missouri,26,53862
54031,Hardy County,West Virginia,32.6,53876
55099,Price County,Wisconsin,29,53883
37011,Avery County,North Carolina,25,53894
48313,Madison County,Texas,27.7,53906
08029,Delta County,Colorado,22.3,53910
04012,La Paz County,Arizona,29.5,53925
29017,Bollinger County,Missouri,27.1,53932
42105,Potter County,Pennsylvania,28.9,53935
21123,Larue County,Kentucky,27.3,53939
08003,Alamosa County,Colorado,24.6,53942
48389,Reeves County,Texas,29.1,53969
20141,Osborne County,Kansas,28.4,53971
54091,Taylor County,West Virginia,30.4,53972
20157,Republic County,Kansas,26.9,53974
48371,Pecos County,Texas,28.9,54003
40151,Woods County,Oklahoma,29.7,54020
37111,Mcdowell County,North Carolina,26.8,54042
40039,Custer County,Oklahoma,28.4,54056
18035,Delaware County,Indiana,30.7,54059
12023,Columbia County,Florida,32.9,54060
26145,Saginaw County,Michigan,37.6,54064
40045,Ellis County,Oklahoma,24.5,54087
30075,Powder River County,Montana,26.7,54102
18117,Orange County,Indiana,29.1,54128
48237,Jack County,Texas,26.6,54132
37115,Madison County,North Carolina,23.7,54137
26071,Iron County,Michigan,24.9,54149
26007,Alpena County,Michigan,28.3,54161
39029,Columbiana County,Ohio,28.2,54167
48413,Schleicher County,Texas,29,54168
29083,Henry County,Missouri,24.8,54177
46085,Lyman County,South Dakota,24.4,54199
24019,Dorchester County,Maryland,34.2,54206
04027,Yuma County,Arizona,32.4,54209
31065,Furnas County,Nebraska,30.3,54213
37033,Caswell County,North Carolina,28.5,54215
17149,Pike County,Illinois,27.4,54244
42065,Jefferson County,Pennsylvania,29,54248
47121,Meigs County,Tennessee,23.5,54257
29205,Shelby County,Missouri,29.5,54264
22099,St. Martin Parish,Louisiana,28.2,54265
39081,Jefferson County,Ohio,36.2,54272
48067,Cass County,Texas,30.7,54276
28131,Stone County,Mississippi,30.3,54283
01007,Bibb County,Alabama,31.2,54309
01097,Mobile County,Alabama,35.8,54315
40105,Nowata County,Oklahoma,26.8,54339
35027,Lincoln County,New Mexico,20.7,54344
08073,Lincoln County,Colorado,24.6,54345
47163,Sullivan County,Tennessee,28.5,54361
46023,Charles Mix County,South Dakota,28.7,54367
37009,Ashe County,North Carolina,28.2,54379
41001,Baker County,Oregon,26.1,54382
22007,Assumption Parish,Louisiana,29.7,54403
39155,Trumbull County,Ohio,29.6,54406
53075,Whitman County,Washington,23.4,54412
37013,Beaufort County,North Carolina,28.8,54415
31015,Boyd County,Nebraska,30.1,54443
37199,Yancey County,North Carolina,26.1,54455
21089,Greenup County,Kentucky,36.1,54462
51091,Highland County,Virginia,23.9,54470
05055,Greene County,Arkansas,26.6,54475
31087,Hitchcock County,Nebraska,34.1,54488
49031,Piute County,Utah,25.8,54495
12083,Marion County,Florida,28.5,54517
21039,Carlisle County,Kentucky,24.8,54535
50009,Essex County,Vermont,30,54570
56027,Niobrara County,Wyoming,24.4,54573
48119,Delta County,Texas,27.1,54587
01033,Colbert County,Alabama,32.6,54593
51620,Franklin City,Virginia,28.7,54594
41015,Curry County,Oregon,26.1,54595
17193,White County,Illinois,26.1,54611
42021,Cambria County,Pennsylvania,28.2,54612
40011,Blaine County,Oklahoma,31.4,54616
29195,Saline County,Missouri,31.2,54623
20195,Trego County,Kansas,26.4,54628
26073,Isabella County,Michigan,29.5,54642
48331,Milam County,Texas,27.2,54667
55001,Adams County,Wisconsin,31.3,54682
47055,Giles County,Tennessee,26.5,54684
40117,Pawnee County,Oklahoma,29.5,54690
41037,Lake County,Oregon,24.1,54707
18065,Henry County,Indiana,34.6,54714
26133,Osceola County,Michigan,29,54727
24510,Baltimore City,Maryland,32.9,54735
54035,Jackson County,West Virginia,30.2,54735
29161,Phelps County,Missouri,22.7,54740
05033,Crawford County,Arkansas,29.3,54741
39099,Mahoning County,Ohio,30,54774
42039,Crawford County,Pennsylvania,32.2,54774
40149,Washita County,Oklahoma,31.3,54789
40041,Delaware County,Oklahoma,30.5,54799
29125,Maries County,Missouri,26.9,54815
18009,Blackford County,Indiana,28.8,54825
04015,Mohave County,Arizona,30.2,54842
51740,Portsmouth City,Virginia,35.9,54843
17151,Pope County,Illinois,27.1,54878
31107,Knox County,Nebraska,30.4,54880
18041,Fayette County,Indiana,30.2,54892
39079,Jackson County,Ohio,33.4,54893
13233,Polk County,Georgia,29.8,54894
39139,Richland County,Ohio,30.3,54906
40081,Lincoln County,Oklahoma,33.4,54922
31009,Blaine County,Nebraska,23.5,54936
22105,Tangipahoa Parish,Louisiana,34.8,54942
20125,Montgomery County,Kansas,33.8,54955
29199,Scotland County,Missouri,26.4,54961
41035,Klamath County,Oregon,28.6,54961
20021,Cherokee County,Kansas,32,54965
41033,Josephine County,Oregon,26.7,54983
47141,Putnam County,Tennessee,26.9,54996
26051,Gladwin County,Michigan,29.2,55017
39131,Pike County,Ohio,30.6,55029
31175,Valley County,Nebraska,30.1,55050
45071,Newberry County,South Carolina,31.7,55050
48245,Jefferson County,Texas,32.1,55065
16087,Washington County,Idaho,27.8,55072
48401,Rusk County,Texas,26.3,55085
13255,Spalding County,Georgia,26.9,55086
23025,Somerset County,Maine,33.2,55093
56013,Fremont County,Wyoming,29,55125
16061,Lewis County,Idaho,26.8,55128
39067,Harrison County,Ohio,27.5,55129
47139,Polk County,Tennessee,27.8,55146
12075,Levy County,Florida,30.1,55147
54039,Kanawha County,West Virginia,32.4,55160
40129,Roger Mills County,Oklahoma,26.8,55183
01121,Talladega County,Alabama,38.2,55186
04003,Cochise County,Arizona,25.4,55254
51049,Cumberland County,Virginia,24.5,55257
46027,Clay County,South Dakota,26.4,55263
01123,Tallapoosa County,Alabama,31.9,55270
17025,Clay County,Illinois,26.8,55282
30065,Musselshell County,Montana,27.8,55291
12051,Hendry County,Florida,30.9,55308
40137,Stephens County,Oklahoma,31.2,55309
37123,Montgomery County,North Carolina,25.8,55313
45077,Pickens County,South Carolina,27.9,55333
21139,Livingston County,Kentucky,23.1,55355
23029,Washington County,Maine,26.9,55381
31161,Sheridan County,Nebraska,28.9,55388
47041,Dekalb County,Tennessee,26.9,55392
31017,Brown County,Nebraska,29,55394
21019,Boyd County,Kentucky,33.6,55397
37127,Nash County,North Carolina,29.9,55406
40043,Dewey County,Oklahoma,27.2,55444
37173,Swain County,North Carolina,25.3,55462
36003,Allegany County,New York,28,55466
01055,Etowah County,Alabama,33,55487
18153,Sullivan County,Indiana,27.7,55497
18123,Perry County,Indiana,29.7,55503
40047,Garfield County,Oklahoma,33.9,55515
01079,Lawrence County,Alabama,28.8,55516
42009,Bedford County,Pennsylvania,30.4,55517
06025,Imperial County,California,29.5,55523
48123,Dewitt County,Texas,28.6,55525
21101,Henderson County,Kentucky,29.1,55530
05025,Cleveland County,Arkansas,28,55533
13125,Glascock County,Georgia,26.7,55539
16059,Lemhi County,Idaho,24.6,55554
21149,Mclean County,Kentucky,28.4,55555
47099,Lawrence County,Tennessee,30.3,55562
48117,Deaf Smith County,Texas,28.9,55565
08061,Kiowa County,Colorado,23.7,55573
39013,Belmont County,Ohio,31.9,55573
31133,Pawnee County,Nebraska,28.2,55584
40031,Comanche County,Oklahoma,33.3,55600
47053,Gibson County,Tennessee,28.4,55608
53049,Pacific County,Washington,29.6,55615
26061,Houghton County,Michigan,27.6,55623
22059,Lasalle Parish,Louisiana,24.7,55633
37191,Wayne County,North Carolina,32.7,55635
45017,Calhoun County,South Carolina,28.8,55642
36013,Chautauqua County,New York,28.7,55644
31149,Rock County,Nebraska,25.2,55648
40053,Grant County,Oklahoma,30.2,55657
32021,Mineral County,Nevada,23.9,55704
48483,Wheeler County,Texas,27.8,55713
51021,Bland County,Virginia,25.6,55722
29077,Greene County,Missouri,31.4,55751
20047,Edwards County,Kansas,27.8,55777
26101,Manistee County,Michigan,29.3,55788
31105,Kimball County,Nebraska,27.9,55797
19175,Union County,Iowa,31.3,55812
37041,Chowan County,North Carolina,24.9,55818
28109,Pearl River County,Mississippi,28.3,55830
41019,Douglas County,Oregon,31.4,55837
13285,Troup County,Georgia,27.5,55852
20111,Lyon County,Kansas,34.1,55863
22079,Rapides Parish,Louisiana,33.3,55870
20161,Riley County,Kansas,23.5,55876
12045,Gulf County,Florida,28.2,55909
39033,Crawford County,Ohio,29.3,55912
28047,Harrison County,Mississippi,30.4,55916
21173,Montgomery County,Kentucky,29,55924
26163,Wayne County,Michigan,32.8,55928
46123,Tripp County,South Dakota,25.4,55946
31183,Wheeler County,Nebraska,24.8,55951
54077,Preston County,West Virginia,31.9,55965
51029,Buckingham County,Virginia,28.2,55965
30061,Mineral County,Montana,25,55979
55137,Waushara County,Wisconsin,28.3,55982
41011,Coos County,Oregon,30.6,55983
41025,Harney County,Oregon,25.8,56001
39059,Guernsey County,Ohio,32.5,56004
19173,Taylor County,Iowa,23.7,56021
30071,Phillips County,Montana,28.7,56043
47123,Monroe County,Tennessee,31.1,56047
28145,Union County,Mississippi,26.5,56050
21233,Webster County,Kentucky,30.2,56052
40019,Carter County,Oklahoma,29.1,56052
51660,Harrisonburg City,Virginia,24,56057
13023,Bleckley County,Georgia,27.3,56070
08125,Yuma County,Colorado,25.2,56075
40123,Pontotoc County,Oklahoma,32.7,56077
26151,Sanilac County,Michigan,25.4,56079
37103,Jones County,North Carolina,26.2,56079
18157,Tippecanoe County,Indiana,26.2,56088
26107,Mecosta County,Michigan,32.1,56096
31049,Deuel County,Nebraska,26.8,56099
55041,Forest County,Wisconsin,33.2,56118
31147,Richardson County,Nebraska,34.7,56121
13147,Hart County,Georgia,25.8,56137
20089,Jewell County,Kansas,24.1,56144
54065,Morgan County,West Virginia,27.1,56162
16009,Benewah County,Idaho,26.7,56188
37169,Stokes County,North Carolina,28.6,56259
47153,Sequatchie County,Tennessee,23.6,56264
48479,Webb County,Texas,31.5,56289
29007,Audrain County,Missouri,28.4,56305
30109,Wibaux County,Montana,24.6,56317
38021,Dickey County,North Dakota,29.8,56326
26043,Dickinson County,Michigan,27.1,56349
35039,Rio Arriba County,New Mexico,25.3,56353
51001,Accomack County,Virginia,31.1,56357
48161,Freestone County,Texas,27.1,56372
16003,Adams County,Idaho,25.7,56374
26141,Presque Isle County,Michigan,26.5,56375
26165,Wexford County,Michigan,28,56379
17135,Montgomery County,Illinois,29.8,56381
39111,Monroe County,Ohio,30.9,56384
42101,Philadelphia County,Pennsylvania,30.1,56385
26017,Bay County,Michigan,32.1,56388
20013,Brown County,Kansas,27,56391
54073,Pleasants County,West Virginia,27.3,56391
55107,Rusk County,Wisconsin,27.6,56410
20035,Cowley County,Kansas,32,56416
29209,Stone County,Missouri,27.7,56418
21221,Trigg County,Kentucky,32.5,56433
22077,Pointe Coupee Parish,Louisiana,25.7,56457
28057,Itawamba County,Mississippi,29.8,56484
42049,Erie County,Pennsylvania,30.6,56489
20023,Cheyenne County,Kansas,24.9,56500
47031,Coffee County,Tennessee,30,56519
29139,Montgomery County,Missouri,25.8,56538
19065,Fayette County,Iowa,31.1,56599
20137,Norton County,Kansas,28.6,56604
31033,Cheyenne County,Nebraska,30.3,56604
21007,Ballard County,Kentucky,27,56605
38005,Benson County,North Dakota,26.9,56605
21047,Christian County,Kentucky,33.6,56610
48159,Franklin County,Texas,24.8,56623
20165,Rush County,Kansas,26.3,56629
29041,Chariton County,Missouri,25.8,56633
48485,Wichita County,Texas,30.9,56634
45065,Mccormick County,South Carolina,28,56636
05105,Perry County,Arkansas,30.1,56640
13115,Floyd County,Georgia,28.4,56651
29117,Livingston County,Missouri,26.5,56654
29025,Caldwell County,Missouri,28.4,56660
36015,Chemung County,New York,26.5,56664
08033,Dolores County,Colorado,22.6,56695
01067,Henry County,Alabama,27.7,56702
26153,Schoolcraft County,Michigan,26.4,56707
42123,Warren County,Pennsylvania,30.6,56707
20009,Barton County,Kansas,31.8,56711
08063,Kit Carson County,Colorado,28.3,56720
13149,Heard County,Georgia,27.7,56724
47063,Hamblen County,Tennessee,25.7,56734
48289,Leon County,Texas,26.5,56749
29021,Buchanan County,Missouri,29.9,56751
48305,Lynn County,Texas,27,56754
48363,Palo Pinto County,Texas,25.1,56809
47111,Macon County,Tennessee,26.2,56817
29033,Carroll County,Missouri,31.2,56818
50019,Orleans County,Vermont,27.4,56818
21141,Logan County,Kentucky,29,56823
48005,Angelina County,Texas,36.3,56825
22037,East Feliciana Parish,Louisiana,32.3,56830
17159,Richland County,Illinois,26.6,56831
19063,Emmet County,Iowa,27.9,56834
01069,Houston County,Alabama,30.7,56842
55003,Ashland County,Wisconsin,25.2,56848
26127,Oceana County,Michigan,28.9,56853
31157,Scotts Bluff County,Nebraska,32.6,56853
01101,Montgomery County,Alabama,33.2,56862
05145,White County,Arkansas,31.6,56866
08105,Rio Grande County,Colorado,25.7,56877
21017,Bourbon County,Kentucky,27.8,56879
17021,Christian County,Illinois,28,56888
12065,Jefferson County,Florida,29,56900
39047,Fayette County,Ohio,27,56901
47081,Hickman County,Tennessee,25.9,56917
18135,Randolph County,Indiana,32.5,56920
38083,Sheridan County,North Dakota,27,56922
48219,Hockley County,Texas,28.1,56923
45085,Sumter County,South Carolina,32.4,56937
26097,Mackinac County,Michigan,26.2,56942
38043,Kidder County,North Dakota,27.3,56951
18067,Howard County,Indiana,28.2,56960
42127,Wayne County,Pennsylvania,29.8,56973
46047,Fall River County,South Dakota,24.6,56976
17065,Hamilton County,Illinois,25.9,56984
31005,Arthur County,Nebraska,27.3,57018
26041,Delta County,Michigan,28,57019
20163,Rooks County,Kansas,28.5,57029
20181,Sherman County,Kansas,25.5,57044
29111,Lewis County,Missouri,28.3,57053
30099,Teton County,Montana,26.4,57054
39121,Noble County,Ohio,29.2,57054
05119,Pulaski County,Arkansas,29.9,57057
53019,Ferry County,Washington,27,57064
47113,Madison County,Tennessee,31.2,57070
48337,Montague County,Texas,24.3,57076
16035,Clearwater County,Idaho,28.8,57081
16023,Butte County,Idaho,25.2,57085
41061,Union County,Oregon,27.1,57091
42087,Mifflin County,Pennsylvania,29,57096
46129,Walworth County,South Dakota,25.1,57100
26083,Keweenaw County,Michigan,24.3,57103
31173,Thurston County,Nebraska,38.1,57129
30019,Daniels County,Montana,25.8,57141
16073,Owyhee County,Idaho,27,57142
46105,Perkins County,South Dakota,27.6,57148
41041,Lincoln County,Oregon,27.5,57216
30047,Lake County,Montana,27.5,57225
39023,Clark County,Ohio,29.5,57264
08043,Fremont County,Colorado,23.4,57275
31129,Nuckolls County,Nebraska,31.5,57278
29013,Bates County,Missouri,26.2,57291
45081,Saluda County,South Carolina,30,57291
06015,Del Norte County,California,24.6,57297
37147,Pitt County,North Carolina,30.5,57319
39073,Hocking County,Ohio,34.8,57353
17187,Warren County,Illinois,27.1,57357
17057,Fulton County,Illinois,28.3,57362
22109,Terrebonne Parish,Louisiana,36,57376
51147,Prince Edward County,Virginia,29.9,57400
16037,Custer County,Idaho,24.7,57405
29145,Newton County,Missouri,27.3,57423
16077,Power County,Idaho,29.1,57426
55013,Burnett County,Wisconsin,25.2,57438
26049,Genesee County,Michigan,30.8,57443
17101,Lawrence County,Illinois,27.4,57460
48481,Wharton County,Texas,30.3,57487
30001,Beaverhead County,Montana,23.8,57497
32009,Esmeralda County,Nevada,24.3,57501
48499,Wood County,Texas,25.6,57504
13053,Chattahoochee County,Georgia,28.6,57507
