Median Household Income-Number; NaturalBreaks
Data downloaded on 28-October-2025
County_FIPS,County,State,Obesity-2014-Percentage,Median Household Income-2022 & 2018-2022-Number
54101,Webster County,West Virginia,29.1,40598
04001,Apache County,Arizona,33.4,40632
48191,Hall County,Texas,29.4,40677
46102,Oglala Lakota County,South Dakota,38.8,40683
51590,Danville City,Virginia,29.9,40799
28147,Walthall County,Mississippi,29.8,40828
13287,Turner County,Georgia,29,40865
22039,Evangeline Parish,Louisiana,33.2,40933
28113,Pike County,Mississippi,33.1,40945
21109,Jackson County,Kentucky,28.4,41007
05137,Stone County,Arkansas,26.1,41063
47025,Claiborne County,Tennessee,24.3,41087
22029,Concordia Parish,Louisiana,30.4,41101
13017,Ben Hill County,Georgia,30.6,41141
47049,Fentress County,Tennessee,28.9,41147
01005,Barbour County,Alabama,37.2,41151
13259,Stewart County,Georgia,29.9,41158
40057,Harmon County,Oklahoma,24.6,41170
05147,Woodruff County,Arkansas,25.5,41225
05041,Desha County,Arkansas,31.6,41251
51720,Norton City,Virginia,24.2,41298
05109,Pike County,Arkansas,28.4,41348
17003,Alexander County,Illinois,26.3,41378
22123,West Carroll Parish,Louisiana,30.3,41380
51690,Martinsville City,Virginia,25.2,41500
13239,Quitman County,Georgia,30,41516
13271,Telfair County,Georgia,30,41547
51105,Lee County,Virginia,29.8,41573
45061,Lee County,South Carolina,38.9,41583
22009,Avoyelles Parish,Louisiana,33,41587
29181,Ripley County,Missouri,30.7,41587
48489,Willacy County,Texas,28.4,41648
22025,Catahoula Parish,Louisiana,28,41676
29223,Wayne County,Missouri,29.1,41724
21053,Clinton County,Kentucky,29.2,41739
22117,Washington Parish,Louisiana,31.6,41779
22013,Bienville Parish,Louisiana,30.3,41807
02158,Kusilvak Census Area,Alaska,25.7,41824
13165,Jenkins County,Georgia,26.6,41830
21195,Pike County,Kentucky,36.7,41837
01013,Butler County,Alabama,28.8,41852
46121,Todd County,South Dakota,36.4,41862
21175,Morgan County,Kentucky,32.6,41863
40023,Choctaw County,Oklahoma,29.8,41999
13265,Taliaferro County,Georgia,29.8,42138
22069,Natchitoches Parish,Louisiana,28.6,42178
28097,Montgomery County,Mississippi,30.6,42195
45075,Orangeburg County,South Carolina,39.1,42209
01085,Lowndes County,Alabama,32.3,42268
35053,Socorro County,New Mexico,27.3,42280
29133,Mississippi County,Missouri,26.6,42364
51730,Petersburg City,Virginia,36.2,42385
40077,Latimer County,Oklahoma,26.1,42409
21197,Powell County,Kentucky,28.2,42434
05073,Lafayette County,Arkansas,26.3,42437
37177,Tyrrell County,North Carolina,24.1,42514
47071,Hardin County,Tennessee,27.6,42573
05049,Fulton County,Arkansas,26.2,42588
05127,Scott County,Arkansas,25.5,42599
13167,Johnson County,Georgia,30.8,42603
54015,Clay County,West Virginia,24.8,42604
54045,Logan County,West Virginia,37.2,42615
13095,Dougherty County,Georgia,31.8,42629
54087,Roane County,West Virginia,30,42697
22097,St. Landry Parish,Louisiana,36.2,42765
21127,Lawrence County,Kentucky,36,42776
21115,Johnson County,Kentucky,33.7,42877
29035,Carter County,Missouri,24.7,42907
08011,Bent County,Colorado,29.8,42958
22001,Acadia Parish,Louisiana,29.7,42981
51520,Bristol City,Virginia,25.3,43123
21165,Menifee County,Kentucky,29.5,43226
28009,Benton County,Mississippi,24.9,43247
51051,Dickenson County,Virginia,33.2,43271
48261,Kenedy County,Texas,29.3,43274
47087,Jackson County,Tennessee,27.8,43306
28029,Copiah County,Mississippi,29.4,43308
54007,Braxton County,West Virginia,27.4,43328
13027,Brooks County,Georgia,29.1,43353
42053,Forest County,Pennsylvania,26.6,43362
48323,Maverick County,Texas,31.2,43407
13099,Early County,Georgia,27.4,43417
47027,Clay County,Tennessee,24.7,43441
54105,Wirt County,West Virginia,27.5,43441
28025,Clay County,Mississippi,28.3,43451
29085,Hickory County,Missouri,25.2,43468
51595,Emporia City,Virginia,25.3,43496
13283,Treutlen County,Georgia,28.3,43533
21045,Casey County,Kentucky,30.3,43539
40107,Okfuskee County,Oklahoma,23.6,43544
28153,Wayne County,Mississippi,30.2,43562
05067,Jackson County,Arkansas,27.7,43579
54013,Calhoun County,West Virginia,25.5,43589
21235,Whitley County,Kentucky,31.6,43604
35023,Hidalgo County,New Mexico,23.6,43610
48377,Presidio County,Texas,28,43666
29067,Douglas County,Missouri,26.7,43694
22119,Webster Parish,Louisiana,30.7,43698
40091,Mcintosh County,Oklahoma,33.3,43700
35031,Mckinley County,New Mexico,33.7,43720
38085,Sioux County,North Dakota,27.7,43721
54043,Lincoln County,West Virginia,33.9,43727
51169,Scott County,Virginia,29.3,43743
40063,Hughes County,Oklahoma,25.8,43773
48081,Coke County,Texas,26.9,43774
28017,Chickasaw County,Mississippi,27.3,43776
48247,Jim Hogg County,Texas,29.3,43782
13091,Dodge County,Georgia,26.8,43783
22049,Jackson Parish,Louisiana,26.1,43813
35019,Guadalupe County,New Mexico,24.5,43862
37091,Hertford County,North Carolina,28.5,43871
13081,Crisp County,Georgia,29.8,43884
54055,Mercer County,West Virginia,34.6,43917
05065,Izard County,Arkansas,26.5,43920
21193,Perry County,Kentucky,33.1,43945
45049,Hampton County,South Carolina,33.8,43987
38037,Grant County,North Dakota,30.8,43988
30107,Wheatland County,Montana,23.7,44002
13269,Taylor County,Georgia,26.4,44035
40029,Coal County,Oklahoma,25.7,44040
21135,Lewis County,Kentucky,35.5,44098
40133,Seminole County,Oklahoma,31.8,44114
28091,Marion County,Mississippi,27.5,44129
22081,Red River Parish,Louisiana,34,44139
48327,Menard County,Texas,29.3,44145
21001,Adair County,Kentucky,29.7,44153
28013,Calhoun County,Mississippi,26.8,44172
40067,Jefferson County,Oklahoma,27.4,44188
47061,Grundy County,Tennessee,28.7,44219
29153,Ozark County,Missouri,26.6,44242
35003,Catron County,New Mexico,20.8,44247
47013,Campbell County,Tennessee,25.4,44268
48127,Dimmit County,Texas,29.6,44312
29093,Iron County,Missouri,26.9,44329
40141,Tillman County,Oklahoma,25.9,44333
13301,Warren County,Georgia,28.2,44367
37153,Richmond County,North Carolina,31.4,44383
28007,Attala County,Mississippi,34.1,44404
29179,Reynolds County,Missouri,24.1,44409
21207,Russell County,Kentucky,29.4,44425
37015,Bertie County,North Carolina,25.5,44434
37117,Martin County,North Carolina,31.5,44445
47069,Hardeman County,Tennessee,26.7,44454
01023,Choctaw County,Alabama,37.9,44458
13163,Jefferson County,Georgia,30.3,44459
40089,Mccurtain County,Oklahoma,31.9,44465
22083,Richland Parish,Louisiana,30.8,44470
05039,Dallas County,Arkansas,24.8,44476
13075,Cook County,Georgia,26.6,44476
13043,Candler County,Georgia,26.9,44493
40061,Haskell County,Oklahoma,33,44536
54075,Pocahontas County,West Virginia,26.5,44553
45025,Chesterfield County,South Carolina,31.5,44574
47151,Scott County,Tennessee,24.1,44599
05099,Nevada County,Arkansas,26.5,44649
13261,Sumter County,Georgia,29.7,44677
01065,Hale County,Alabama,31.1,44702
46095,Mellette County,South Dakota,28.6,44702
51640,Galax City,Virginia,24,44706
22061,Lincoln Parish,Louisiana,29.6,44752
17077,Jackson County,Illinois,29.2,44756
37083,Halifax County,North Carolina,31,44804
28061,Jasper County,Mississippi,32.3,44810
29023,Butler County,Missouri,30.3,44853
29091,Howell County,Missouri,26.8,44858
48129,Donley County,Texas,27.1,44866
17153,Pulaski County,Illinois,27.2,44873
13315,Wilcox County,Georgia,25.3,44905
01025,Clarke County,Alabama,33,44906
54021,Gilmer County,West Virginia,30.6,44938
20011,Bourbon County,Kansas,31.1,44954
40075,Kiowa County,Oklahoma,24.2,44959
21169,Metcalfe County,Kentucky,27.6,44973
05011,Bradley County,Arkansas,27.5,44982
29229,Wright County,Missouri,25.6,45017
22091,St. Helena Parish,Louisiana,32.9,45024
08109,Saguache County,Colorado,23.5,45048
28111,Perry County,Mississippi,29.9,45071
22085,Sabine Parish,Louisiana,29,45072
01113,Russell County,Alabama,31.8,45074
22045,Iberia Parish,Louisiana,31,45077
45011,Barnwell County,South Carolina,32.7,45080
13279,Toombs County,Georgia,27.3,45125
54025,Greenbrier County,West Virginia,30.2,45137
01109,Pike County,Alabama,35.8,45144
35033,Mora County,New Mexico,25.7,45155
21203,Rockcastle County,Kentucky,29.4,45161
13109,Evans County,Georgia,26.9,45163
13263,Talbot County,Georgia,30.2,45163
05093,Mississippi County,Arkansas,33.7,45168
29185,St. Clair County,Missouri,23.2,45174
46071,Jackson County,South Dakota,31.9,45190
13201,Miller County,Georgia,27.3,45201
35011,De Baca County,New Mexico,23.5,45208
35021,Harding County,New Mexico,24.6,45217
51195,Wise County,Virginia,28.7,45220
13253,Seminole County,Georgia,26,45223
29149,Oregon County,Missouri,25.2,45273
05113,Polk County,Arkansas,30.5,45289
13205,Mitchell County,Georgia,29.9,45296
48101,Cottle County,Texas,27.2,45351
47029,Cocke County,Tennessee,28.5,45361
37047,Columbus County,North Carolina,29,45379
51077,Grayson County,Virginia,25.8,45414
48379,Rains County,Texas,28,45419
28005,Amite County,Mississippi,34.6,45433
01107,Pickens County,Alabama,29.2,45440
12047,Hamilton County,Florida,29.5,45484
51173,Smyth County,Virginia,27.2,45484
47091,Johnson County,Tennessee,25.2,45495
01017,Chambers County,Alabama,31.2,45563
01091,Marengo County,Alabama,34.7,45587
13065,Clinch County,Georgia,29,45595
30037,Golden Valley County,Montana,23.8,45622
12039,Gadsden County,Florida,32.8,45628
05121,Randolph County,Arkansas,29,45638
22127,Winn Parish,Louisiana,29,45646
28161,Yalobusha County,Mississippi,32,45658
35006,Cibola County,New Mexico,29,45674
26131,Ontonagon County,Michigan,26.5,45694
05135,Sharp County,Arkansas,28.8,45740
40111,Okmulgee County,Oklahoma,30.9,45754
28123,Scott County,Mississippi,27.3,45764
48079,Cochran County,Texas,28.3,45766
48153,Floyd County,Texas,28.5,45784
48083,Coleman County,Texas,26.3,45834
36005,Bronx County,New York,31.1,45864
21171,Monroe County,Kentucky,25.6,45872
05069,Jefferson County,Arkansas,38.1,45894
48307,Mcculloch County,Texas,27.5,45915
29039,Cedar County,Missouri,24.6,45952
13307,Webster County,Georgia,28.9,45987
37165,Scotland County,North Carolina,29.1,45996
37017,Bladen County,North Carolina,32.5,46002
13005,Bacon County,Georgia,27.7,46044
13003,Atkinson County,Georgia,30.5,46060
05097,Montgomery County,Arkansas,27.6,46069
37187,Washington County,North Carolina,25.2,46072
26069,Iosco County,Michigan,29.6,46129
12079,Madison County,Florida,29.7,46141
13161,Jeff Davis County,Georgia,27,46143
40005,Atoka County,Oklahoma,26.5,46160
21087,Green County,Kentucky,33.3,46169
13093,Dooly County,Georgia,29,46191
45027,Clarendon County,South Carolina,39.1,46202
47007,Bledsoe County,Tennessee,27.4,46207
30035,Glacier County,Montana,31.7,46270
54001,Barbour County,West Virginia,32.3,46302
48345,Motley County,Texas,29.7,46320
47075,Haywood County,Tennessee,30.2,46351
21199,Pulaski County,Kentucky,30.2,46380
39105,Meigs County,Ohio,30.8,46393
28077,Lawrence County,Mississippi,29.6,46407
37107,Lenoir County,North Carolina,34.2,46410
05057,Hempstead County,Arkansas,30.5,46423
28079,Leake County,Mississippi,31.2,46429
29001,Adair County,Missouri,26.8,46433
47135,Perry County,Tennessee,24.5,46448
05061,Howard County,Arkansas,25.1,46449
13087,Decatur County,Georgia,26.6,46455
48107,Crosby County,Texas,28.5,46457
12107,Putnam County,Florida,33.3,46459
45087,Union County,South Carolina,34.7,46461
22021,Caldwell Parish,Louisiana,31.4,46464
54005,Boone County,West Virginia,31.2,46508
28023,Clarke County,Mississippi,26.7,46524
17069,Hardin County,Illinois,27.3,46568
51580,Covington City,Virginia,25,46592
08089,Otero County,Colorado,27.6,46607
29215,Texas County,Missouri,28.8,46622
26135,Oscoda County,Michigan,24.4,46626
28031,Covington County,Mississippi,30.4,46630
05071,Johnson County,Arkansas,30.5,46660
28043,Grenada County,Mississippi,31.7,46718
54067,Nicholas County,West Virginia,33.8,46757
12013,Calhoun County,Florida,35.1,46766
48163,Frio County,Texas,28.9,46769
05021,Clay County,Arkansas,26.4,46855
01039,Covington County,Alabama,28.8,46958
13235,Pulaski County,Georgia,27.3,46975
13107,Emanuel County,Georgia,29.2,46975
08115,Sedgwick County,Colorado,24.9,46980
48445,Terry County,Texas,29.3,46998
16079,Shoshone County,Idaho,28.5,47005
40079,Le Flore County,Oklahoma,32.8,47026
54097,Upshur County,West Virginia,34.3,47035
29123,Madison County,Missouri,28.5,47068
48125,Dickens County,Texas,29.1,47074
48387,Red River County,Texas,26.6,47081
20049,Elk County,Kansas,27.1,47094
12027,Desoto County,Florida,32.6,47097
35017,Grant County,New Mexico,24.2,47099
08009,Baca County,Colorado,22,47147
05141,Van Buren County,Arkansas,28.6,47150
28037,Franklin County,Mississippi,27.8,47165
37185,Warren County,North Carolina,30.5,47170
13197,Marion County,Georgia,27.5,47174
13101,Echols County,Georgia,27,47195
48275,Knox County,Texas,28.4,47207
21099,Hart County,Kentucky,31,47229
05003,Ashley County,Arkansas,35.2,47253
51197,Wythe County,Virginia,29.9,47257
05027,Columbia County,Arkansas,28,47278
22073,Ouachita Parish,Louisiana,32.2,47283
28105,Oktibbeha County,Mississippi,29,47284
05075,Lawrence County,Arkansas,25.5,47312
28101,Newton County,Mississippi,28.9,47320
05111,Poinsett County,Arkansas,28.4,47372
13317,Wilkes County,Georgia,27.7,47377
13267,Tattnall County,Georgia,27.7,47401
40135,Sequoyah County,Oklahoma,27.2,47450
28049,Hinds County,Mississippi,33.1,47479
01099,Monroe County,Alabama,30.3,47498
48145,Falls County,Texas,29.2,47534
47097,Lauderdale County,Tennessee,30.3,47575
51081,Greensville County,Virginia,26.5,47596
29221,Washington County,Missouri,27.3,47636
48155,Foard County,Texas,27.4,47657
51111,Lunenburg County,Virginia,24.7,47660
35047,San Miguel County,New Mexico,25.5,47675
22017,Caddo Parish,Louisiana,32.8,47699
48315,Marion County,Texas,26.5,47720
01093,Marion County,Alabama,30.3,47742
54017,Doddridge County,West Virginia,28.5,47755
01053,Escambia County,Alabama,34.1,47792
02290,Yukon-Koyukuk Census Area,Alaska,28.6,47798
40001,Adair County,Oklahoma,30.1,47799
48351,Newton County,Texas,27.9,47804
35041,Roosevelt County,New Mexico,26.7,47854
35005,Chaves County,New Mexico,29.9,47855
40115,Ottawa County,Oklahoma,31.6,47855
51750,Radford City,Virginia,25.7,47892
13175,Laurens County,Georgia,33.9,47918
40121,Pittsburg County,Oklahoma,29.7,47930
47137,Pickett County,Tennessee,24.2,47932
45029,Colleton County,South Carolina,35.8,47933
